job_id,decision,spacy_lr_score,spacy_rf_score,spacy_svc_score,spacy_xgb_score,spacy_lgb_score,spacy_nn_score,spacy_nb_score,spacy_knn_score,spacy_siamese_score
0,0,0.41861174017641767,0.45,-0.14883464683328695,0.5988441,0.4222359609157162,0.22553898,0.4990992129504088,0.4,0.3521856
0,0,0.4427252893507927,0.25,-0.13884592653753008,0.04790775,0.23817722110533887,0.6262486,0.34948175406596177,0.4,0.4233315
0,0,0.4507087787086457,0.17,-0.11753977678331932,0.05409715,0.17880674260276283,0.81316084,0.3118767053277802,0.2,0.48798454
0,0,0.5590987872996795,0.14,0.0724401978860838,0.029224617,0.06594238762702335,0.011558791,0.29632469426467556,0.0,0.12144814
0,0,0.4317184194696394,0.13,-0.11552375564671173,0.0084661925,0.12341002412194184,0.1663418,0.45295822117362333,0.2,0.41960102
0,0,0.3597605237823136,0.16,-0.29632308217446374,0.02387074,0.11076499690101105,0.20578161,0.189278271888229,0.0,0.48627278
0,0,0.4516479286243908,0.39,-0.0273460875120502,0.33832932,0.4299287777469791,0.082870305,0.3978727306968307,0.0,0.40657523
0,0,0.34113886565259416,0.44,-0.42912340990863235,0.100155845,0.10516977372005516,0.013541163,0.09205785422407645,0.0,0.44128075
0,0,0.34523830000800215,0.47,-0.3015081599852078,0.08222544,0.4241300426071358,0.46357146,0.03293045889623787,0.0,0.43597463
0,0,0.45222720193063487,0.2,-0.10273087552017164,0.028783776,0.11864622841869694,0.20447993,0.21164674512849826,0.0,0.3934606
0,0,0.5672529814942735,0.46,0.2439039314398212,0.37336335,0.597360368063778,0.43580508,0.345720535742788,0.8,0.19390708
0,0,0.41411611978718044,0.16,-0.20317548659220136,0.068677075,0.18714963156738507,0.09635052,0.29736900734979266,0.0,0.43670496
0,0,0.43808056035274484,0.1,-0.22165576778832413,0.007093046,0.14230090460472777,0.30490223,0.2501851397292967,0.6,0.32542175
0,0,0.5190738922686664,0.18,0.04138477151893,0.044546902,0.1528296494871037,0.077212356,0.39057133838644603,0.2,0.188129
